code,board_code,board_name,prev_close,open,pct_chg,volume,amount,macd,macd_signal,macd_hist
600681,881146,燃气,3.44,3.43,-0.58,194146,86290.0,,,
600682,881165,综合,5.54,5.51,0.18,124020,64613.0,,,
600683,881153,房地产,7.85,7.85,-4.84,174418,78178.0,,,
600684,881153,房地产,3.44,3.42,-1.45,161420,80609.0,,,
600685,881166,军工装备,26.44,26.26,-0.61,121317,55038.0,,,
600686,881125,汽车整车,11.66,11.65,5.49,449757,238679.0,,,
600688,881180,石油加工贸易,2.82,2.81,0.35,742028,364209.0,,,
600689,881165,综合,9.7,9.7,0.31,31674,15310.0,,,
600690,881131,白色家电,22.98,23.0,1.26,546421,312667.0,,,
600691,881263,农化制品,2.42,2.41,-0.83,343267,145605.0,,,
600692,881153,房地产,5.62,5.6,1.42,73280,36693.0,,,
600693,881158,零售,9.47,9.28,-2.96,1831679,917845.0,,,
600694,881158,零售,14.53,14.46,0.96,46974,26632.0,,,
600697,881158,零售,9.93,9.96,0.81,39218,19371.0,,,
600698,881126,汽车零部件,6.54,6.52,-0.46,518015,264747.0,,,
600699,881126,汽车零部件,20.31,20.14,-1.43,267468,128453.0,,,
600702,881273,白酒,34.08,33.9,10.01,141929,55764.0,,,
600703,881122,光学光电子,12.25,12.07,-3.59,1324691,533133.0,,,
600704,881152,物流,4.97,4.95,1.01,500425,281865.0,,,
600706,881160,旅游及酒店,7.25,7.25,2.07,150626,69677.0,,,
600707,881122,光学光电子,8.29,8.25,-6.76,1055534,438718.0,,,
600708,881153,房地产,3.06,3.07,-2.94,204485,81698.0,,,
600710,881159,贸易,11.08,11.0,0.99,113127,65945.0,,,
600711,881168,工业金属,10.74,10.7,-5.68,1217861,495267.0,,,
600712,881158,零售,4.77,4.73,10.06,200408,50737.0,,,
600713,881143,医药商业,5.05,5.03,-0.2,104790,47410.0,,,
600714,881108,化学原料,13.29,13.28,-4.06,101908,40892.0,,,
