date,code,name,board_code,board_name,prev_close,open,pct_chg,volume,amount,macd
2026-07-30,002115,三维通信,881162,通信服务,10.7,10.58,-4.58,61094243.0,641639350.0,-0.1924
2026-07-30,002116,中国海诚,881116,建筑装饰,6.99,7.01,0.43,3497120.0,24609152.0,-0.0439
2026-07-30,002117,东港股份,881138,包装印刷,7.87,7.81,0.13,7364900.0,58557499.0,-0.2023
2026-07-30,002119,康强电子,881121,半导体,20.94,20.61,-8.31,36285464.0,720041740.0,-2.9683
2026-07-30,002120,韵达股份,881152,物流,6.83,6.82,0.88,34413953.0,236612240.0,0.0318
2026-07-30,002121,科陆电子,881278,电网设备,4.94,4.92,0.4,30953750.0,153690250.0,-0.2582
2026-07-30,002122,ST汇洲,881117,通用设备,2.37,2.36,-1.69,13199100.0,31024245.0,-0.0474
2026-07-30,002123,梦网科技,881162,通信服务,8.24,8.23,-3.88,28526000.0,231023450.0,-0.0533
2026-07-30,002124,天邦食品,881102,养殖业,2.19,2.18,0.0,57216201.0,126300901.0,-0.0397
2026-07-30,002125,湘潭电化,881281,电池,12.22,12.11,0.16,19306767.0,236349150.0,-0.6837
2026-07-30,002126,银轮股份,881126,汽车零部件,39.71,39.07,-6.62,32613584.0,1222725620.0,-3.1443
2026-07-30,002127,南极电商,881177,互联网电商,3.07,3.05,-0.65,43726464.0,134440580.0,0.0602
2026-07-30,002128,电投能源,881105,煤炭开采加工,26.76,26.79,1.27,17429743.0,470665820.0,0.2391
2026-07-30,002129,TCL中环,881279,光伏设备,8.62,8.52,2.67,141391570.0,1239226420.0,-0.4497
2026-07-30,002130,沃尔核材,881123,其他电子,16.48,16.2,3.7,59850800.0,1018314060.0,-0.7281
2026-07-30,002131,利欧股份,881117,通用设备,4.09,4.06,3.67,918200450.0,3973950200.0,-0.2662
2026-07-30,002132,恒星科技,881117,通用设备,4.01,3.99,-6.98,76897108.0,295623500.0,-0.3731
2026-07-30,002133,广宇集团,881153,房地产,2.5,2.48,-0.8,11099250.0,27800326.0,-0.051
2026-07-30,002134,天津普林,881270,元件,19.39,19.17,-6.6,10222516.0,189358810.0,-2.5007
2026-07-30,002135,东南网架,881116,建筑装饰,5.91,5.91,-1.69,13740200.0,81298777.0,-0.317
2026-07-30,002136,安 纳 达,881108,化学原料,11.93,11.89,-0.84,7230700.0,85212576.0,-0.3266
2026-07-30,002137,实益达,881122,光学光电子,7.14,7.05,-0.7,25213800.0,177176910.0,-0.9055
2026-07-30,002138,顺络电子,881270,元件,43.15,42.79,-7.07,52311024.0,2142911500.0,-4.5916
2026-07-30,002139,拓邦股份,881124,消费电子,9.79,9.79,-0.41,14092784.0,138343500.0,-0.0792
2026-07-30,002140,东华科技,881116,建筑装饰,8.83,8.82,0.91,6699320.0,59781498.0,-0.2171
2026-07-30,002141,贤丰控股,881270,元件,6.3,6.4,-10.0,330051080.0,1929020300.0,0.3032
2026-07-30,002142,宁波银行,881155,银行,31.92,31.85,3.07,36001180.0,1172332290.0,0.5176
2026-07-30,002144,宏达高科,881135,纺织制造,9.87,9.87,0.2,5208000.0,51693159.0,-0.3092
2026-07-30,002145,钛能化学,881108,化学原料,4.63,4.6,-0.65,43054997.0,198818430.0,0.0007
2026-07-30,002146,荣盛发展,881153,房地产,1.11,1.11,0.0,112610234.0,125889035.0,-0.0178
2026-07-30,002148,北纬科技,881162,通信服务,6.17,6.14,-2.59,19015700.0,116575514.0,-0.1218
2026-07-30,002149,西部材料,881170,小金属,32.19,31.98,-2.89,27503986.0,886042320.0,-5.5716
2026-07-30,002150,正泰电源,881279,光伏设备,20.99,20.97,-6.15,9614194.0,193732950.0,-1.4425
2026-07-30,002151,北斗星通,881276,军工电子,28.05,27.89,-0.18,14732662.0,412357790.0,-1.4373
2026-07-30,002152,广电运通,881130,计算机设备,9.87,9.8,0.41,32549652.0,323693250.0,-0.0495
2026-07-30,002153,石基信息,881272,软件开发,7.95,7.95,3.52,41346069.0,340107160.0,0.0208
